seed,zone,lod,triangles,wood_components,wood_boundary_edges,wood_nonmanifold,crown_components,crown_wood_contacts_min,max_tip_to_crown_surface,root_min_y_delta,source_matrix_error,palette_error,sha256
3011,empty-court,1,2230,1,0,0,6,9,0.09788443893194199,0.012039348483085632,5.912780762784564e-07,3.052039454498612e-09,2cfb05a0f0f2b1b4e4b4b2f78227defba75060024e57aad362f014b2c0864e24
3011,empty-court,2,1222,1,0,0,6,6,0.088636614382267,0.01028934121131897,5.912780762784564e-07,3.052039454498612e-09,a1d35b8082ef00f305958039e2c73952585586d3d812c21e48304448546bb68b
3020,empty-court,0,3596,1,0,0,6,10,0.11172754317522049,0.011846199631690979,1.0681152344815814e-06,3.052039454498612e-09,3cbe7b492be1ee35de4e91c78b90888cb7ccb7c528c7617a83b5d391eb0e18f5
3020,empty-court,1,2228,1,0,0,6,10,0.10367084294557571,0.011846199631690979,1.0681152344815814e-06,3.052039454498612e-09,2ede2682b8d002cbdfbc1ebba979b553fc252e584b3c4865de72086e7e1796c6
3020,empty-court,2,1220,1,0,0,6,6,0.10205967724323273,0.013616204261779785,1.0681152344815814e-06,3.052039454498612e-09,f964b1e0240e60376bb00d03027d4324c0e9829b30765796e2aed9dfd56d4cd8
4101,return-view,0,3598,1,0,0,6,12,0.10699208080768585,0.012799158692359924,1.0681152344815814e-06,3.052039454498612e-09,8a9e9017bd3ac141901d301f83c2e82bd00f402b2c1028c16075534b8b5f9841
4101,return-view,1,2228,1,0,0,6,10,0.10699880868196487,0.012799158692359924,1.0681152344815814e-06,3.052039454498612e-09,64f6bb7001b8cadf6f08d87c1068d4507768229af6a6d9abb5aca15f8b1a6997
4101,return-view,2,1222,1,0,0,6,6,0.11595194041728973,0.012179151177406311,1.0681152344815814e-06,3.052039454498612e-09,ae836a5b54f1d58ba6b5d257df8432307aef845ada236bb28b74f97243075194
4110,return-view,0,3596,1,0,0,6,12,0.09766550362110138,0.008824571967124939,7.247924802555872e-07,3.052039454498612e-09,5eadd921f146cfdf9ab420fb2a1f86266e7fd8568e8626c48dbe89d65daa4b1e
4110,return-view,1,2228,1,0,0,6,9,0.09909871965646744,0.008824571967124939,7.247924802555872e-07,3.052039454498612e-09,cad8ce8a947b00af202bde03086f9ff42d908dde36d26dbdf5c179f219e32c0a
4110,return-view,2,1220,1,0,0,6,6,0.092606320977211,0.010164573788642883,7.247924802555872e-07,3.052039454498612e-09,444e0689266cdffffa7dc355ffba81e6ce136f25ecdefa746805b9018a41d290
4119,return-view,0,3600,1,0,0,6,11,0.10378686338663101,0.008337169885635376,5.912780762784564e-07,3.052039454498612e-09,c399dd881dd1185f3c3826da22c70f69801bcc7d5c15d0f089e26f8efebef9bf
4119,return-view,1,2230,1,0,0,6,11,0.09887915849685669,0.008337169885635376,5.912780762784564e-07,3.052039454498612e-09,e2d0b7a29a659fd20a7db7da34ce70b75df96528b38b338e9e33b3daa486e9ab
4119,return-view,2,1222,1,0,0,6,6,0.10070165246725082,0.005957171320915222,5.912780762784564e-07,3.052039454498612e-09,b73cf8dcd74c343346c92bed1287c1d6acb260ac6768a1e4d21938526439a59c
4128,return-view,0,3594,1,0,0,7,10,0.10612070560455322,0.005656644701957703,7.247924802555872e-07,3.052039454498612e-09,ef6546255d5ec16e9d7898a00e8ed3342a7d3a6ee7d58baf6b4fa202cab99582
4128,return-view,1,2226,1,0,0,7,10,0.09776006639003754,0.005126640200614929,7.247924802555872e-07,3.052039454498612e-09,fd8bc96a426974a955da239f01a7300642fbca457ae770fa97306a4ac8bb9b7c
4128,return-view,2,1220,1,0,0,7,6,0.09765629470348358,0.006096646189689636,7.247924802555872e-07,3.052039454498612e-09,19f7224394c14d764f7b7c98af35ac8f2136fda6d063c760ae3a10ee44d1a1c4
